Unnamed: 0,tweet,sentiment
2519319,thanks my family thinks i m losing it,1.0
610253,Why are tampons so expensive at CVS? ,0.0
2582920,just been forwarded a hoax email for a free lap top from a client the hoax is nine years old but can t bear to burst their bubble,1.0
1363920,Is Raving To A Mix He Did The Other Night   x,1.0
1914991,i rarely talk about the latter prefer to stick with my expertise,0.0
2734968,woo i get to go see night in the museum tonight im so happy omg optimus prime is such a loser why does he have to be a big fat truck gt,1.0
779396,@msmanya Thats not for another year girl. I already been waiting a year for it. lol I cant hold my breath. ,0.0
1205910,@mileycyrus yay you won!! Congrads! ,1.0
3085917,first day i m sure thing will get a bit more cluttered but we ll do our best,1.0
545590,@MalloryDuVal how doni get ustream to see the USB can? It only picks up the built in cam ,0.0
2299993,get well soon school wont be the same with out you tomo,0.0
865814,@giblahoj youï¿½re right ... i know ... but i really like to be the late bird ,1.0
2775055,lol i can soooo relate,1.0
1230789,I was in the gatheration spirit inniiiitttt! A week to go till ESS OH VEEE ,1.0
2678232,why do you get scared when its time to get a hair cut i love getting mine cut,1.0
2279523,y is it that i have probably paid dollars the original iphone g versions amp now the g s amp all of them fug up majorly,0.0
823006,"welcome to the bat cave... Our friend Terry will be here again around 9pm tomorrow, look forward to it ",1.0
2707981,i m free from school all one week yeah,1.0
2897070,i ve decided to buy some nice wigs coz i ll be bald after the next bleaching,1.0
129062,@AJM1030 We don't get drag race over here... I was not impressed ,0.0
244355,"@Applecored hmmm, have I chosen wisely....don't like this collar much ",0.0
2985260,my treadmill comes out in winter as a threat it propels me to walk swim or gym most days,1.0
612502,@DigitalVisuals So you're there now? *sigh* Couldn't wait until tomorrow? ,0.0
140839,@sidlefan8 oh thats so sad...  I'm sorry.  ,0.0
1439266,@KellyShibari seconded ,1.0
2709206,sounds painful lol after a google search amp mention of fasting eek i love my food of course if it helps amp i can eat yeah,1.0
1927177,bed was comfy,0.0
1240610,@synthesisphotos cool deal.. well i have plans for thursday night. so other than that.. you let me know what works for you. ,1.0
409617,@sammiebabyy haha. Just don't lock yourself out like I did last night - $130 to get in this morning ,0.0
2351664,darn wife been in car accident,0.0
1403130,"@tommcfly Heyy Tom, how re u guy?  Do you remember if any of you got a ring with black drawing of turtles in the show in SÃ£o Paulo?",1.0
1958284,o o o has changed his twitter dp gutted not as smoldering in the new one,0.0
641263,hopefully this is the last online shopping this month.kinda broke already ,0.0
1750699,so many chores to do now the the hub is back at work but no energy to do them my least fav of them all folding laundry ugh,0.0
315405,There is a lump on my left wrist. ,0.0
977365,@brennahunt i think you may be the only person in lynn i appreciate.  &lt;3,1.0
5739,i need a pick me up. probably should be tackling cardio right now. like that's gonna happen... ,0.0
1891278,aw man ill b in hartford conn that s the weekend of bham playdate too,0.0
210336,"Got a crappy score yesterday  oh well,  Its a nice day in western New York but I too would rather be somewhere else Eric Jones",0.0
881169,@pswam nice link to the visualization of Bayes using Venn diagrams. +Good taste in talks -- I was just at that talk by Zawodny last week ,1.0
1669008,i wish they would send me home from work for coughing i don t want to work tomorrow,0.0
2362670,need to find a beauty school student to clip my ends might have to take off a few inches by now,0.0
2925812,morning everyone wishing my parents let me go to the dinner,1.0
2502898,bugger but always leave the audience wanting more,1.0
2079026,it is raining outside i hate when it rains,0.0
1335521,Will be listening to the new Taking Back Sunday cd non-stop until their show on June 9th ,1.0
2808437,getting ready for a relaxing night run,1.0
988591,"When I get my cash, I'm gonna buy some new domains to start some projects! ",1.0
616898,R.I.P. Sidekick. You've been through quite a lot with me ,0.0
401477,"Why does today have to be so beautiful out, and I locked in a small walk-in coffin, allowed only to gaze out at the more fortunate? ",0.0
2465649,happy juddday everyone,1.0
2917698,heading to bed may god bless you all big jesus loves you,1.0
2442203,bonfire its nice outside ugh im stuffed with smores,1.0
64257,yipee updated my fb photos...that was fun...now to mt. st. helens of laundry... ,0.0
1995710,i sorry i slept over my one friends house and then went out for breakfast with my gma,0.0
1908794,this morning i thought i found forgotten cash in my pocket only to find out it was only for canadian tire,0.0
2846248,hey kendra ur new show starts here next week n i can t wait thou a bit weird coz girls of playboy mansion still screens,1.0
2855371,absolutely if you see me snag me to say howdy,1.0
597540,I love you but It's so hard ,0.0
1191502,"@Grown2daT lol...real friends tell the truth therefore...BEAUTY IS IN THE EYE OF THE BEHOLDER...hahahaha Ok i'm kidding, u know I love u ",1.0
2788059,it s for a lot of things but yes partically for duroc baby,1.0
2273706,showerr then grocery shopping still jealous you re playing majora s mask my brother has mine i want it back now,0.0
2506297,nevershoutnever concert tomorrow,1.0
2726412,got moreeee shandy,1.0
